# ISO 639-3 language codes used by chatter.
#
# Source: the ISO 639-3 code tables published by iso639-3.sil.org, the ISO
# registration authority for the standard. This file is a DERIVED product:
# it carries the identifiers chatter needs and nothing else, and it is not
# the code tables. The identifiers themselves are unmodified.
#
# Release: 20260715
# Generated by: scripts/update_iso639_3.py (re-run it when a new release
# appears; never hand-edit this file).
#
# Columns: code<TAB>status<TAB>change_to
#   current      assigned today.
#   retired      no longer assigned, still VALID here because a CHAT file is
#                a historical document; change_to names its replacement.
#   private_use  qaa..qtz, reserved by the standard for local use.
#
# Totals: 7927 current, 388 retired, 520 private use, 8835 in all.
bhq	current	
bhr	current	
bhs	current	
bht	current	
bhu	current	
bhv	current	
bhw	current	
bhx	current	
bhy	current	
bhz	current	
bia	current	
bib	current	
bic	retired	bir
bid	current	
bie	current	
bif	current	
big	current	
bii	retired	
bij	retired	
bik	current	
bil	current	
bim	current	
bin	current	
bio	current	
bip	current	
biq	current	
bir	current	
bis	current	
bit	current	
biu	current	
biv	current	
biw	current	
bix	current	
biy	current	
biz	current	
bja	current	
bjb	current	
bjc	current	
bjd	retired	drl
bje	current	
bjf	current	
bjg	current	
bjh	current	
bji	current	
bjj	current	
bjk	current	
bjl	current	
bjm	current	
bjn	current	
bjo	current	
bjp	current	
bjq	retired	
bjr	current	
bjs	current	
bjt	current	
bju	current	
bjv	current	
bjw	current	
bjx	current	
bjy	current	
bjz	current	
bka	current	
bkb	retired	
bkc	current	
bkd	current	
bke	retired	pse
bkf	current	
bkg	current	
bkh	current	
bki	current	
bkj	current	
bkk	current	
bkl	current	
bkm	current	
bkn	current	
bko	current	
bkp	current	
bkq	current	
bkr	current	
bks	current	
bkt	current	
bku	current	
bkv	current	
bkw	current	
bkx	current	
bky	current	
bkz	current	
bla	current	
blb	current	
blc	current	
bld	current	
ble	current	
blf	current	
blg	retired	iba
blh	current	
bli	current	
blj	current	
blk	current	
bll	current	
blm	current	
bln	current	
blo	current	
blp	current	
blq	current	
blr	current	
bls	current	
blt	current	
blu	retired	
blv	current	
blw	current	
blx	current	
bly	current	
blz	current	
bma	current	
bmb	current	
bmc	current	
bmd	current	
bme	current	
bmf	current	
bmg	current	
bmh	current	
bmi	current	
bmj	current	
bmk	current	
bml	current	
bmm	current	
bmn	current	
bmo	current	
bmp	current	
bmq	current	
bmr	current	
bms	current	
bmt	current	
bmu	current	
bmv	current	
bmw	current	
bmx	current	
bmy	retired	
bmz	current	
bna	current	
bnb	current	
bnc	current	
bnd	current	
bne	current	
bnf	current	
bng	current	
bnh	retired	jaa
bni	current	
bnj	current	
bnk	current	
bnl	current	
bnm	current	
bnn	current	
bno	current	
bnp	current	
bnq	current	
bnr	current	
bns	current	
bnu	current	
bnv	current	
bnw	current	
bnx	current	
bny	current	
bnz	current	
boa	current	
bob	current	
boc	retired	xkl
bod	current	
boe	current	
bof	current	
bog	current	
boh	current	
boi	current	
boj	current	
bok	current	
bol	current	
bom	current	
bon	current	
boo	current	
bop	current	
boq	current	
bor	current	
bos	current	
bot	current	
bou	current	
bov	current	
bow	current	
box	current	
boy	current	
boz	current	
bpa	current	
bpb	retired	
